Date,Open,High,Low,Close,Adj Close,Volume
2020-08-24,478.140015,480.019989,469.519989,476.299988,476.299988,1840500
2020-08-25,476.670013,484.649994,474.429993,484.429993,484.429993,3967400
2020-08-26,496.950012,533.700012,492.230011,528.489990,528.489990,7780300
2020-08-27,519.010010,523.320007,504.459991,510.320007,510.320007,3631800
2020-08-28,512.330017,518.799988,510.940002,516.440002,516.440002,1926300
2020-08-31,513.859985,516.729980,507.769989,513.390015,513.390015,2346700
2020-09-01,515.000000,528.539978,514.479980,527.950012,527.950012,2404000
2020-09-02,536.250000,536.880005,521.409973,533.799988,533.799988,2783400
2020-09-03,526.039978,527.630005,493.420013,507.799988,507.799988,5837600
2020-09-04,504.649994,511.350006,471.709991,491.940002,491.940002,3900300
2020-09-08,471.890015,481.480011,461.179993,462.130005,462.130005,4533100
2020-09-09,473.910004,483.489990,462.480011,479.459991,479.459991,3312100
2020-09-10,491.149994,501.850006,473.500000,476.260010,476.260010,4248100
2020-09-11,487.079987,489.410004,464.480011,471.350006,471.350006,4414200
2020-09-14,484.989990,490.440002,476.869995,485.910004,485.910004,4463800
2020-09-15,493.739990,499.690002,491.489990,497.670013,497.670013,5682400
2020-09-16,505.500000,505.500000,475.500000,476.000000,476.000000,8462600
2020-09-17,464.440002,475.170013,460.500000,474.299988,474.299988,4560800
2020-09-18,477.399994,478.339996,452.519989,467.549988,467.549988,7182300
2020-09-21,460.309998,475.859985,456.730011,475.640015,475.640015,3913700
2020-09-22,479.309998,487.200012,469.559998,486.779999,486.779999,2629100
2020-09-23,486.880005,488.000000,468.230011,470.390015,470.390015,2671300
2020-09-24,466.929993,471.429993,460.269989,467.670013,467.670013,2838800
2020-09-25,469.230011,481.579987,466.010010,479.779999,479.779999,2541100
2020-09-28,487.970001,489.390015,481.179993,488.510010,488.510010,2844800
2020-09-29,489.940002,493.450012,484.170013,489.329987,489.329987,2030400
2020-09-30,488.130005,497.239990,486.220001,490.429993,490.429993,3508200
2020-10-01,497.429993,501.500000,495.760010,499.510010,499.510010,2264600
2020-10-02,487.989990,496.779999,478.640015,478.989990,478.989990,2780900
2020-10-05,483.250000,486.690002,478.989990,486.470001,486.470001,1984100
2020-10-06,485.000000,491.510010,477.500000,478.980011,478.980011,2041500
2020-10-07,484.350006,493.980011,481.429993,493.149994,493.149994,2025800
2020-10-08,499.049988,499.489990,487.559998,490.839996,490.839996,1590700
2020-10-09,491.769989,502.170013,491.179993,502.160004,502.160004,1853800
2020-10-12,508.260010,516.000000,499.540009,510.890015,510.890015,3149700
2020-10-13,512.190002,519.599976,511.899994,514.309998,514.309998,2438100
2020-10-14,514.340027,516.950012,501.600006,506.309998,506.309998,2032900
2020-10-15,499.260010,502.500000,491.850006,501.149994,501.149994,2042800
2020-10-16,504.000000,510.339996,500.700012,502.820007,502.820007,2441200
2020-10-19,507.750000,507.750000,493.200012,495.200012,495.200012,1931400
2020-10-20,495.250000,500.170013,491.910004,494.579987,494.579987,1453900
2020-10-21,492.049988,499.809998,490.570007,495.959991,495.959991,1369700
2020-10-22,496.720001,496.859985,479.399994,483.600006,483.600006,2613700
2020-10-23,486.410004,488.510010,479.510010,488.500000,488.500000,1899300
2020-10-26,480.880005,488.779999,470.130005,475.200012,475.200012,2337400
2020-10-27,479.779999,481.890015,473.470001,478.559998,478.559998,1896500
2020-10-28,469.170013,470.970001,455.880005,456.970001,456.970001,2677300
2020-10-29,459.320007,464.730011,457.279999,461.109985,461.109985,2125300
2020-10-30,458.320007,459.500000,442.510010,447.100006,447.100006,3127000
2020-11-02,451.000000,456.190002,438.940002,444.940002,444.940002,2479000
2020-11-03,448.989990,457.839996,445.670013,454.019989,454.019989,1758600
2020-11-04,477.929993,494.940002,474.470001,487.230011,487.230011,4524300
2020-11-05,499.269989,502.529999,489.799988,496.470001,496.470001,2401000
2020-11-06,494.950012,498.720001,483.000000,494.630005,494.630005,1956300
2020-11-09,494.700012,499.410004,470.760010,471.140015,471.140015,3625300
2020-11-10,466.720001,468.010010,446.000000,452.000000,452.000000,4920300
2020-11-11,458.489990,470.119995,457.500000,467.750000,467.750000,2634200
2020-11-12,473.489990,474.929993,461.149994,462.579987,462.579987,2115000
2020-11-13,467.450012,470.600006,459.000000,469.339996,469.339996,2965600
2020-11-16,460.429993,469.529999,458.250000,460.950012,460.950012,2522200
2020-11-17,461.660004,469.910004,460.000000,467.950012,467.950012,2407600
2020-11-18,466.709991,467.899994,459.260010,459.470001,459.470001,2063200
2020-11-19,460.000000,471.040009,459.260010,466.410004,466.410004,3132700
2020-11-20,465.160004,470.000000,462.359985,462.920013,462.920013,1849900
2020-11-23,464.630005,467.000000,456.170013,460.609985,460.609985,2370000
2020-11-24,461.410004,464.489990,456.679993,462.700012,462.700012,2584900
2020-11-25,466.290009,472.529999,464.850006,470.079987,470.079987,2634500
2020-11-27,476.899994,482.410004,474.859985,477.029999,477.029999,1815500
2020-11-30,480.000000,480.859985,469.200012,478.470001,478.470001,2787000
2020-12-01,482.010010,482.010010,471.630005,479.149994,479.149994,2531100
2020-12-02,475.670013,481.320007,470.119995,481.260010,481.260010,2107100
2020-12-03,482.209991,492.809998,481.500000,484.279999,484.279999,3062700
2020-12-04,485.670013,491.390015,484.359985,486.000000,486.000000,2749800
2020-12-07,487.000000,499.290009,487.000000,492.250000,492.250000,3441700
2020-12-08,492.290009,496.040009,486.200012,495.279999,495.279999,2175700
2020-12-09,496.029999,497.000000,479.260010,483.739990,483.739990,3449100
2020-12-10,483.739990,488.290009,470.950012,476.869995,476.869995,3922000
2020-12-11,475.980011,478.890015,468.820007,475.910004,475.910004,3561300
2020-12-14,475.609985,488.410004,475.500000,486.420013,486.420013,3945200
2020-12-15,489.049988,489.500000,480.529999,482.640015,482.640015,2558600
2020-12-16,485.000000,491.500000,484.109985,489.899994,489.899994,2555600
2020-12-17,493.000000,496.989990,490.630005,495.359985,495.359985,2178400
2020-12-18,497.609985,504.070007,493.570007,502.950012,502.950012,4667400
2020-12-21,498.049988,502.000000,491.500000,498.390015,498.390015,2412900
2020-12-22,498.359985,506.920013,495.829987,504.170013,504.170013,1701500
2020-12-23,505.130005,505.459991,496.589996,496.910004,496.910004,1428300
2020-12-24,499.160004,503.010010,497.279999,499.859985,499.859985,589200
2020-12-28,505.609985,506.040009,496.820007,498.950012,498.950012,1515400
2020-12-29,501.170013,505.350006,499.739990,502.109985,502.109985,1434100
2020-12-30,503.049988,504.369995,496.329987,497.450012,497.450012,1529900
2020-12-31,497.989990,500.660004,494.890015,500.119995,500.119995,1462100
2021-01-04,500.299988,500.790009,476.279999,485.339996,485.339996,3612900
2021-01-05,485.880005,486.079987,479.200012,485.690002,485.690002,2010100
2021-01-06,474.100006,475.869995,466.000000,466.309998,466.309998,4156600
2021-01-07,471.000000,479.640015,468.250000,477.739990,477.739990,2901200
2021-01-08,480.000000,485.540009,477.209991,485.100006,485.100006,2266100
